1	My business, PizzaPazza	1-4
2	The customer	14-15
0	the order	18-19
0	it	23
1	the shop	24-25
1	our	34
3	our web-site	34-37
1	we	64
8	the delivery-boy	73-76
2	the customer's	87-89
4	Mary, the customer	92-95
1	PizzaPazza	100
3	the PizzaPazza web-site	99-103
4	her	106
7	two Napoli pizzas	109-111
5	her order of two Napoli pizzas	106-111
4	Mary's	122-123
5	Mary's order	122-124
1	PizzaPazza	126
6	John, the cook	128-131
5	the order	134-135
4	the Mary's	141-143
6	John	147
7	the ordered pizzas	149-151
7	them	154
8	the delivery-boy Eddy	159-163
7	the pizzas	169-170
8	Eddy	174
7	the pizzas	177-178
8	his	181
4	Mary's	190-191
